Comment,Distance,Fo
OK08-DF-Ol14,0,78.41596343
OK08-DF-Ol14,30.16,79.75725585
OK08-DF-Ol14,60.32,79.67563464
OK08-DF-Ol14,90.49,79.87989065
OK08-DF-Ol14,120.65,79.70649674
OK08-DF-Ol14,150.81,79.54377429
OK08-DF-Ol14,180.97,79.60301242
OK08-DF-Ol14,211.13,79.51987161
OK08-DF-Ol14,241.3,79.75248544
OK08-DF-Ol14,271.46,79.64765903
OK08-DF-Ol13,29.73,79.08725032
OK08-DF-Ol13,59.46,78.93288361
OK08-DF-Ol13,89.19,78.40469732
OK08-DF-Ol13,118.92,78.68662304
OK08-DF-Ol13,148.65,78.73590343
OK08-DF-Ol13,178.38,78.84638948
OK08-DF-Ol13,208.11,78.97620247
OK08-DF-Ol13,237.84,79.00598414
OK08-DF-Ol13,267.57,79.30622451
OK08-DF-Ol13,297.3,79.55676285
OK08-DF-Ol13,327.03,79.86844181
OK08-DF-Ol13,356.76,79.95234998
OK08-DF-Ol13,386.49,79.96993222
OK08-DF-Ol13,416.22,80.07200941
OK08-DF-Ol12,0,76.43815598
OK08-DF-Ol12,28.5,78.96507632
OK08-DF-Ol12,56.99,82.05848457
OK08-DF-Ol12,85.49,82.77999344
OK08-DF-Ol12,113.98,82.93093743
OK08-DF-Ol12,142.48,82.91183689
OK08-DF-Ol12,170.97,82.86561643
OK08-DF-Ol12,199.47,83.05385327
OK08-DF-Ol12,227.97,83.08823391
OK08-DF-Ol12,256.46,83.09692347
OK08-DF-Ol11,20.5,77.88408146
OK08-DF-Ol11,40.99,75.99478292
OK08-DF-Ol11,61.48,74.16734615
OK08-DF-Ol11,81.98,73.12266053
OK08-DF-Ol11,102.48,72.45240458
OK08-DF-Ol11,122.97,72.15086781
OK08-DF-Ol11,143.46,72.01328276
OK08-DF-Ol11,163.96,71.94395021
OK08-DF-Ol11,184.46,71.93713922
OK08-DF-Ol10,0,78.07606911
OK08-DF-Ol10,26.06,76.32732743
OK08-DF-Ol10,52.12,74.18247229
OK08-DF-Ol10,78.17,73.85641526
OK08-DF-Ol10,104.23,73.99026809
OK08-DF-Ol10,130.29,73.87378815
OK08-DF-Ol10,156.35,73.90893631
OK08-DF-Ol10,182.41,73.86909627
OK08-DF-Ol10,208.46,73.85571828
OK08-DF-Ol10,234.52,73.87330728
OK08-DF-Ol09,32.02,79.06369544
OK08-DF-Ol09,64.03,79.42490082
OK08-DF-Ol09,96.05,79.39874679
OK08-DF-Ol09,128.06,79.38168767
OK08-DF-Ol09,160.08,79.52201105
OK08-DF-Ol09,192.09,79.54686989
OK08-DF-Ol09,224.11,79.64185141
OK08-DF-Ol09,256.12,79.6378666
OK08-DF-Ol09,288.14,79.76105674
OK08-DF-Ol08,0,79.61670121
OK08-DF-Ol08,19.25,80.09403762
OK08-DF-Ol08,38.5,80.05219947
OK08-DF-Ol08,57.74,79.89812368
OK08-DF-Ol08,76.99,79.80162794
