Sample,Eruption,CodeNo,Notes,Note2,Code,Type,Author,,SiO2,Al2O3,TiO2,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,SUM,Mg#,,SiO2_SD,Al2O3_SD,TiO2_SD,FeOT_SD,MnO_SD,MgO_SD,CaO_SD,Na2O_SD,K2O_SD,P2O5_SD,Mg#_SD
OK08-BF01-MG,,Cry,OL,MG,MG,Ash,Me,,53.95437579,13.85671096,1.744011596,11.98101026,0.331872189,4.751639323,9.051001425,3.037321412,1.019395825,0.272661223,100,0.468881455,,0.227309494,0.03713164,0.046267132,0.07408051,0.033642943,0.046165307,0.033446493,0.042712795,0.026863706,0.041086453,
MG1,,Free,Free,MG,MG,Ash,Me,,55.96293039,15.04092539,1.677602652,10.72177501,0.294256917,3.761076913,7.295542177,3.703578435,1.285260096,0.257052019,100,0.438470094,,0.477102993,0.13469734,0.034492454,0.262294473,0.021919572,0.082986161,0.057993737,0.028699457,0.009566486,0.031365821,
MG2,,Free,Free,MG,MG,Ash,Me,,55.25271034,15.13208123,1.656741487,10.82099048,0.307935054,4.145671095,7.566040617,3.695220644,1.175752023,0.246857027,100,0.460277596,,0.734079764,0.325232131,0.061658479,0.108211389,0.025321612,0.542270569,0.264120294,0.10128645,0.083479511,0.038343053,
MG3,,Free,Free,MG,MG,Ash,Me,,55.99511019,14.52680906,1.816700058,11.19223064,0.305613094,3.487384971,7.412815376,3.725084044,1.307344901,0.230907671,100,0.40953942,,0.536563747,0.769693901,0.114752591,0.368273132,0.03811665,0.19280885,0.150946455,0.038417972,0.0853666,0.059010993,
MG4,,Free,Free,MG,MG,Ash,Me,,55.72034436,14.93765396,1.759910608,11.06737436,0.299667318,3.598547375,7.42565457,3.669654875,1.257079006,0.264113569,100,0.419878225,,0.836076414,0.402917598,0.117672071,0.32747442,0.030895002,0.205484252,0.163953703,0.136357709,0.079134705,0.037323662,
MG5,,Free,Free,MG,MG,Ash,Me,,56.14741616,15.27293648,1.600730989,10.48089614,0.301194626,3.732782835,7.347118346,3.671867068,1.214931131,0.230126231,100,0.442208883,,0.095360268,0.103647452,0.055194783,0.193048302,0.029112069,0.042538851,0.009571989,0.067003925,0.025325103,0.033501963,
MG7,,Free,Free,MG,MG,Ash,Me,,54.89813995,14.42996331,1.784132608,11.81829685,0.321396938,4.054156649,8.090598507,3.307604707,1.024927243,0.270783247,100,0.432978719,,0.756987777,0.694146059,0.051304909,0.371967588,0.021916371,0.291764991,0.19854184,0.102578607,0.024141192,0.019438557,
MG8,large olivine shard adjacent see image,Cry,Free,MG,MG,Ash,Me,,53.59068253,14.35255823,1.500356017,11.34676025,0.264469535,5.950564541,9.114027057,2.843047503,0.808666463,0.228867867,100,0.538610926,,0.635744075,0.223781914,0.035601668,0.106805005,0.010171905,0.671345743,0.376360492,0.167836436,0.045773573,0.055945479,
MG9,,Free,Free,MG,MG,Ash,Me,,56.64464639,13.99349452,1.676670802,11.4047148,0.308507428,3.943529727,7.028604004,3.450588511,1.280976493,0.268267328,100,0.434932907,,0.42699509,0.641058587,0.097995635,0.787271487,0.033196388,0.237638144,0.147470799,0.106781686,0.062195221,0.034197509,
OLZ-3,,Cry,OL,MG,MG,Ash,Me,,52.37983509,14.92592344,1.501642421,11.13159482,0.321780519,5.480324462,10.48468191,2.765301334,0.700543005,0.224575987,100,0.522877722,,0.167661044,0.509596069,0.046686292,0.327490895,0.029603006,0.035788289,0.13844524,0.064125248,0.026392733,0.028833965,
