Sample,Code,SIO2,TIO2,AL2O3,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5
OK08BF01,Ash-BF,52.06288802,1.292225435,16.09462144,10.19873136,0.263958444,5.645107287,10.7668001,2.803025971,0.676652046,0.195989908
OK08BF02,Ash-BF,51.98835158,1.417843996,15.64409626,10.1270381,0.270240676,6.12929997,10.77067189,2.7106535,0.721279893,0.220524149
OK08BF10,Ash-BF,51.05233905,1.330730042,16.65092768,9.998365844,0.268834352,6.406896802,10.17538022,3.226012223,0.746015327,0.144498464
OK08BF13,Ash-BF,53.06697578,1.637195948,15.65654612,10.13678723,0.275158983,5.183909353,9.561774653,3.250315485,0.901145668,0.330190779
OK08BF14,Ash-BF,52.37696699,1.456454439,15.2893527,11.26490179,0.304282735,5.827290509,9.490886202,2.953935763,0.796605362,0.239323499
OK08BF21,Ash-BF,54.67534908,1.687946581,15.13974173,11.21431254,0.303761348,4.158779109,8.173941726,3.251627157,1.142556888,0.251983845
OK08BF21-2,Ash-BF,54.95275148,1.699064492,15.33647441,11.26239393,0.290084182,4.372390617,8.060196189,3.359,1.156883344,0.293537564
OK08BF23,Ash-BF,53.53626446,1.766534361,14.30035292,12.70547618,0.312144906,4.711632236,8.421052147,2.997963168,0.936434719,0.312144906
OK08BF25,Ash-BF,53.05439514,1.760946546,14.85018702,12.31969527,0.298112998,4.797277645,8.517019024,3.227246524,0.894338994,0.280780847
OK08BF26,Ash-BF,51.44921938,1.387309807,16.67175522,10.93798212,0.291884489,5.666899661,9.15487115,3.389294008,0.803540829,0.247243332
OK08BF29,Ash-BF,52.8124649,1.639392966,14.72386198,12.78907955,0.313563728,4.981406295,8.14584031,3.34695196,0.927057977,0.32038033
OK08RH05,Ash-RH,49.3443212,0.99747499,15.66945785,11.89141503,0.384527474,7.549779241,11.26524282,2.281825875,0.45081006,0.165145468
OK08RH06,Ash-RH,50.33398258,1.224284349,16.41512349,10.34533322,0.314527975,7.028288123,11.06942775,2.778776548,0.33492191,0.155334056
OK08RH10,Ash-RH,52.66032346,1.384819965,14.63403262,11.64664667,0.328594951,6.757500616,8.905409586,2.795673895,0.668587964,0.218410279
