SAMPLE,H2O,H2O-1SD,CO2,CO2-1SD,Type,New,Code
OKJFL08-BF-Ol01-MI01-70X100-256-3,1.330234039,0.103112678,,,Ash,BF,Ash-BF
OKJFL08-BF-Ol02-MI01-40X25-256-2,0.935632055,0.074455485,,,Ash,BF,Ash-BF
OKJFL08-BF-Ol07-MI01-70X50-256-3,1.295757102,0.106057357,,,Ash,BF,Ash-BF
OKJFL08-BF-Ol10-40X40-3,1.317123574,0.099782838,,,Ash,BF,Ash-BF
OKJFL08-BF-Ol13-30X30-3,1.377351657,0.12708327,,,Ash,BF,Ash-BF
OKJFL08-BF-Ol14-30X30,1.084468144,0.083067973,,,Ash,BF,Ash-BF
OKJFL08-BF-Ol21-20X20-3,1.290491788,0.116065534,,,Ash,BF,Ash-BF
OKJFL08-BF-Ol21-MI02-25X25-3,1.009081613,0.090816658,,,Ash,BF,Ash-BF
OKJFL08-BF-Ol23-40X40,1.728200462,0.137873352,,,Ash,BF,Ash-BF
OKJFL08-BF-Ol25-35X35,1.654741543,0.125901769,,,Ash,BF,Ash-BF
OKJFL08-BF-Ol26-30X30-2,1.518813266,0.133520537,,,Ash,BF,Ash-BF
OKJFL08-BF-Ol29-30X40-2,1.533642938,0.121310206,,,Ash,BF,Ash-BF
OKJFL08-MG-01-25X25-256-3,0.473709502,0.039264894,,,Ash,MG,Ash-MG
OKJFL08-MG-02-25X40-256,1.011113829,0.086430431,,,Ash,MG,Ash-MG
OKJFL08-MG-03-30X30-256-2,0.673413339,0.050847035,,,Ash,MG,Ash-MG
OKJFL08-MG-04-20X20-256,0.725910427,0.059496901,,,Ash,MG,Ash-MG
OKJFL08-MG-05-20X40-256-2,0.646039905,0.065126463,,,Ash,MG,Ash-MG
OKJFL08-MG-06-20X20-3,0.788057245,0.059831084,,,Ash,MG,Ash-MG
OKJFL08-MG-07-20X20,0.638711283,0.050900614,,,Ash,MG,Ash-MG
OKJFL08-MG-09-20X20-2,0.55118162,0.043381861,,,Ash,MG,Ash-MG
OKJFL08-MG-10-30X30,1.115853093,0.089166668,,,Ash,MG,Ash-MG
OKJFL08-MG11-30X30-3,0.760651459,0.062621797,,,Ash,MG,Ash-MG
OKJFL08-MG12-25X25,0.589449782,0.045947211,,,Ash,MG,Ash-MG
OKJFL08-MG13-25X25-3,0.803444782,0.062857239,,,Ash,MG,Ash-MG
OKJFL08-MG14-30X30,0.42317994,0.037128679,,,Ash,MG,Ash-MG
OKJFL08-MG15-1-30X30,0.479176021,0.042400104,,,Ash,MG,Ash-MG
OKJFL08-MG15-2-30X30-2,0.456665022,0.039300884,,,Ash,MG,Ash-MG
OKJFL08-MG16-30X30-3,0.555753202,0.046977571,,,Ash,MG,Ash-MG
OKJFL08-MG17-30X30-2,0.795048485,0.070279966,,,Ash,MG,Ash-MG
OKJFL08-RH-Ol06-MI01-45X25-256-2,2.010966141,0.188834612,533.0690603,60.15499073,Ash,RH,Ash-RH
OKJFL08-RH-Ol10-MI01-35X25-256-2,1.699109103,0.150928843,,,Ash,RH,Ash-RH
OKJFL08-RH-Ol12-MI01-35X45-256-2,1.893436216,0.150781833,666.8892907,37.23767661,Ash,RH-Decap,Ash-Decap
OKJFL08-RH-Ol14-MI01-15X50,1.13991186,0.105568477,180.4241155,57.17436471,Ash,RH-Decap,Ash-Decap
OKJFL08-RH-Ol22-MI01-35X35-256-2,1.659134818,0.127479687,1602.894552,49.60977807,Ash,RH,Ash-RH
OKJFL08-RH-Ol23-MI01-20X30-2,1.578100148,0.127421705,,,Ash,RH,Ash-RH
OKJFL08-RH-Ol24-MI01-55X30-3,1.473370657,0.150879312,826.7613161,57.90107283,Ash,RH-Decap,Ash-Decap
OKJFL08-RH-Ol25-MI01-30X30-3,0.754132311,0.059300914,,,Ash,RH,Ash-RH
OKJFL08-RH-Ol26-MI01-20X25-256-2,0.722824369,0.058522908,,,Ash,RH,Ash-RH
